pago_id,id_suscripcion,fecha_termino
1095,121,2023-03-20
1092,121,2023-03-20
1094,121,2023-03-20
1093,121,2023-03-20
1091,121,2023-03-20
1096,121,2023-03-20
1099,121,2023-03-20
1098,121,2023-03-20
1097,121,2023-03-20
2534,266,2023-03-20
2533,266,2023-03-20
2535,266,2023-03-20
2536,266,2023-03-20
2532,266,2023-03-20
2791,291,2023-03-23
2789,291,2023-03-23
2793,291,2023-03-23
2794,291,2023-03-23
2790,291,2023-03-23
2792,291,2023-03-23
2788,291,2023-03-23
3094,326,2023-03-27
3095,326,2023-03-27
3093,326,2023-03-27
3096,326,2023-03-27
2872,300,2023-03-30
2865,300,2023-03-30
2870,300,2023-03-30
2867,300,2023-03-30
2866,300,2023-03-30
2873,300,2023-03-30
2874,300,2023-03-30
2868,300,2023-03-30
2869,300,2023-03-30
2871,300,2023-03-30
3423,363,2023-04-09
3420,363,2023-04-09
3422,363,2023-04-09
3421,363,2023-04-09
2376,248,2023-04-21
2375,248,2023-04-21
1413,153,2023-04-26
1410,153,2023-04-26
1414,153,2023-04-26
1412,153,2023-04-26
1411,153,2023-04-26
1409,153,2023-04-26
589,59,2023-04-27
2990,311,2023-04-27
2996,311,2023-04-27
2998,311,2023-04-27
2992,311,2023-04-27
2995,311,2023-04-27
2997,311,2023-04-27
2999,311,2023-04-27
2991,311,2023-04-27
2994,311,2023-04-27
2993,311,2023-04-27
3074,324,2023-04-28
3067,324,2023-04-28
3069,324,2023-04-28
3068,324,2023-04-28
3070,324,2023-04-28
3072,324,2023-04-28
3073,324,2023-04-28
3066,324,2023-04-28
3071,324,2023-04-28
1976,209,2023-05-03
1977,209,2023-05-03
1975,209,2023-05-03
2342,243,2023-05-04
2341,243,2023-05-04
3210,340,2023-05-15
3209,340,2023-05-15
3214,340,2023-05-15
3211,340,2023-05-15
3205,340,2023-05-15
3207,340,2023-05-15
3206,340,2023-05-15
3215,340,2023-05-15
3213,340,2023-05-15
3208,340,2023-05-15
3212,340,2023-05-15
3204,340,2023-05-15
1052,115,2023-05-15
1054,115,2023-05-15
1049,115,2023-05-15
1051,115,2023-05-15
1053,115,2023-05-15
1045,115,2023-05-15
1047,115,2023-05-15
1046,115,2023-05-15
1050,115,2023-05-15
1048,115,2023-05-15
1981,210,2023-05-17
1982,210,2023-05-17
1980,210,2023-05-17
1978,210,2023-05-17
1979,210,2023-05-17
3011,313,2023-05-26
3010,313,2023-05-26
268,25,2023-06-04
263,25,2023-06-04
266,25,2023-06-04
269,25,2023-06-04
264,25,2023-06-04
271,25,2023-06-04
267,25,2023-06-04
265,25,2023-06-04
262,25,2023-06-04
270,25,2023-06-04
2848,298,2023-06-13
2850,298,2023-06-13
2853,298,2023-06-13
2849,298,2023-06-13
2846,298,2023-06-13
2847,298,2023-06-13
2851,298,2023-06-13
2852,298,2023-06-13
2845,298,2023-06-13
2653,278,2023-06-15
2646,278,2023-06-15
2658,278,2023-06-15
2651,278,2023-06-15
2645,278,2023-06-15
2654,278,2023-06-15
2652,278,2023-06-15
2655,278,2023-06-15
2650,278,2023-06-15
2656,278,2023-06-15
2657,278,2023-06-15
2649,278,2023-06-15
2648,278,2023-06-15
2647,278,2023-06-15
1652,178,2023-06-15
1651,178,2023-06-15
1984,211,2023-06-19
1983,211,2023-06-19
166,16,2023-06-27
167,16,2023-06-27
165,16,2023-06-27
1524,166,2023-06-28
1523,166,2023-06-28
1522,166,2023-06-28
1521,166,2023-06-28
1526,166,2023-06-28
1520,166,2023-06-28
1525,166,2023-06-28
3271,349,2023-07-01
3266,349,2023-07-01
3277,349,2023-07-01
3267,349,2023-07-01
3268,349,2023-07-01
3275,349,2023-07-01
3270,349,2023-07-01
3269,349,2023-07-01
3272,349,2023-07-01
3273,349,2023-07-01
3274,349,2023-07-01
3265,349,2023-07-01
3276,349,2023-07-01
759,81,2023-07-08
761,81,2023-07-08
760,81,2023-07-08
1500,163,2023-07-17
1501,163,2023-07-17
1503,163,2023-07-17
1502,163,2023-07-17
570,56,2023-07-24
572,56,2023-07-24
571,56,2023-07-24
2,1,2023-07-25
1,1,2023-07-25
1805,193,2023-07-27
508,50,2023-07-30
514,50,2023-07-30
515,50,2023-07-30
511,50,2023-07-30
510,50,2023-07-30
502,50,2023-07-30
507,50,2023-07-30
504,50,2023-07-30
509,50,2023-07-30
512,50,2023-07-30
503,50,2023-07-30
506,50,2023-07-30
513,50,2023-07-30
505,50,2023-07-30
2881,301,2023-08-07
2875,301,2023-08-07
2876,301,2023-08-07
2878,301,2023-08-07
2884,301,2023-08-07
2883,301,2023-08-07
2882,301,2023-08-07
2877,301,2023-08-07
2880,301,2023-08-07
2879,301,2023-08-07
2246,234,2023-08-11
2249,234,2023-08-11
2248,234,2023-08-11
2245,234,2023-08-11
2250,234,2023-08-11
2247,234,2023-08-11
3479,369,2023-08-14
3477,369,2023-08-14
3476,369,2023-08-14
3478,369,2023-08-14
2787,290,2023-08-17
2786,290,2023-08-17
379,38,2023-08-18
378,38,2023-08-18
377,38,2023-08-18
380,38,2023-08-18
381,38,2023-08-18
1111,123,2023-08-19
1110,123,2023-08-19
1109,123,2023-08-19
192,19,2023-08-20
196,19,2023-08-20
201,19,2023-08-20
198,19,2023-08-20
197,19,2023-08-20
199,19,2023-08-20
191,19,2023-08-20
190,19,2023-08-20
195,19,2023-08-20
193,19,2023-08-20
194,19,2023-08-20
200,19,2023-08-20
661,68,2023-08-28
662,68,2023-08-28
660,68,2023-08-28
666,68,2023-08-28
671,68,2023-08-28
668,68,2023-08-28
669,68,2023-08-28
670,68,2023-08-28
664,68,2023-08-28
667,68,2023-08-28
663,68,2023-08-28
665,68,2023-08-28
1182,130,2023-09-03
1180,130,2023-09-03
1181,130,2023-09-03
1179,130,2023-09-03
1177,130,2023-09-03
1178,130,2023-09-03
1176,130,2023-09-03
966,106,2023-09-09
965,106,2023-09-09
1193,132,2023-09-10
1197,132,2023-09-10
1195,132,2023-09-10
1196,132,2023-09-10
1192,132,2023-09-10
1194,132,2023-09-10
2352,245,2023-09-19
2353,245,2023-09-19
945,101,2023-09-21
484,48,2023-09-22
476,48,2023-09-22
483,48,2023-09-22
478,48,2023-09-22
485,48,2023-09-22
475,48,2023-09-22
479,48,2023-09-22
477,48,2023-09-22
486,48,2023-09-22
480,48,2023-09-22
482,48,2023-09-22
481,48,2023-09-22
3472,368,2023-10-03
3471,368,2023-10-03
3469,368,2023-10-03
3470,368,2023-10-03
3473,368,2023-10-03
3468,368,2023-10-03
3474,368,2023-10-03
3475,368,2023-10-03
1519,165,2023-10-03
1517,165,2023-10-03
1518,165,2023-10-03
3158,334,2023-10-05
3163,334,2023-10-05
3161,334,2023-10-05
3154,334,2023-10-05
3164,334,2023-10-05
3160,334,2023-10-05
3156,334,2023-10-05
3159,334,2023-10-05
3155,334,2023-10-05
3162,334,2023-10-05
3152,334,2023-10-05
3153,334,2023-10-05
3157,334,2023-10-05
867,90,2023-10-07
864,90,2023-10-07
868,90,2023-10-07
869,90,2023-10-07
866,90,2023-10-07
865,90,2023-10-07
863,90,2023-10-07
2905,303,2023-10-14
2904,303,2023-10-14
2902,303,2023-10-14
2901,303,2023-10-14
2903,303,2023-10-14
1147,126,2023-10-17
1148,126,2023-10-17
1146,126,2023-10-17
432,43,2023-10-20
433,43,2023-10-20
2335,241,2023-10-22
2328,241,2023-10-22
2325,241,2023-10-22
2332,241,2023-10-22
2324,241,2023-10-22
2331,241,2023-10-22
2334,241,2023-10-22
2333,241,2023-10-22
2330,241,2023-10-22
2327,241,2023-10-22
2329,241,2023-10-22
2326,241,2023-10-22
2323,241,2023-10-22
1774,189,2023-10-25
1773,189,2023-10-25
362,36,2023-10-29
373,36,2023-10-29
363,36,2023-10-29
367,36,2023-10-29
372,36,2023-10-29
370,36,2023-10-29
366,36,2023-10-29
371,36,2023-10-29
365,36,2023-10-29
369,36,2023-10-29
364,36,2023-10-29
368,36,2023-10-29
578,58,2023-10-30
588,58,2023-10-30
579,58,2023-10-30
582,58,2023-10-30
585,58,2023-10-30
581,58,2023-10-30
577,58,2023-10-30
580,58,2023-10-30
586,58,2023-10-30
587,58,2023-10-30
583,58,2023-10-30
584,58,2023-10-30
1032,114,2023-11-03
1044,114,2023-11-03
1041,114,2023-11-03
1038,114,2023-11-03
1027,114,2023-11-03
1029,114,2023-11-03
1037,114,2023-11-03
1033,114,2023-11-03
1034,114,2023-11-03
1030,114,2023-11-03
1039,114,2023-11-03
1043,114,2023-11-03
1040,114,2023-11-03
1035,114,2023-11-03
1042,114,2023-11-03
1036,114,2023-11-03
1031,114,2023-11-03
1028,114,2023-11-03
3381,357,2023-11-05
3382,357,2023-11-05
2104,222,2023-11-13
2107,222,2023-11-13
2103,222,2023-11-13
2106,222,2023-11-13
2105,222,2023-11-13
651,67,2023-11-14
649,67,2023-11-14
650,67,2023-11-14
657,67,2023-11-14
647,67,2023-11-14
652,67,2023-11-14
655,67,2023-11-14
648,67,2023-11-14
653,67,2023-11-14
656,67,2023-11-14
654,67,2023-11-14
659,67,2023-11-14
658,67,2023-11-14
3099,327,2023-11-17
3098,327,2023-11-17
3097,327,2023-11-17
3100,327,2023-11-17
430,42,2023-11-19
428,42,2023-11-19
427,42,2023-11-19
431,42,2023-11-19
429,42,2023-11-19
2086,219,2023-11-19
2078,219,2023-11-19
2075,219,2023-11-19
2077,219,2023-11-19
2084,219,2023-11-19
2074,219,2023-11-19
2085,219,2023-11-19
2082,219,2023-11-19
2080,219,2023-11-19
2076,219,2023-11-19
2079,219,2023-11-19
2081,219,2023-11-19
2087,219,2023-11-19
2083,219,2023-11-19
2862,299,2023-11-22
2854,299,2023-11-22
2859,299,2023-11-22
2855,299,2023-11-22
2856,299,2023-11-22
2858,299,2023-11-22
2863,299,2023-11-22
2857,299,2023-11-22
2861,299,2023-11-22
2864,299,2023-11-22
2860,299,2023-11-22
2198,230,2023-11-23
2199,230,2023-11-23
2200,230,2023-11-23
2201,230,2023-11-23
887,94,2023-11-28
3218,341,2023-11-28
3219,341,2023-11-28
3216,341,2023-11-28
3217,341,2023-11-28
3220,341,2023-11-28
1637,175,2023-11-30
1638,175,2023-11-30
1634,175,2023-11-30
1635,175,2023-11-30
1640,175,2023-11-30
1642,175,2023-11-30
1636,175,2023-11-30
1639,175,2023-11-30
1641,175,2023-11-30
3136,332,2023-11-30
3137,332,2023-11-30
3058,321,2023-12-01
3060,321,2023-12-01
3059,321,2023-12-01
951,103,2023-12-06
949,103,2023-12-06
950,103,2023-12-06
2837,295,2023-12-09
2838,295,2023-12-09
2839,296,2023-12-10
1059,117,2023-12-11
1058,117,2023-12-11
1057,117,2023-12-11
2748,287,2023-12-12
2747,287,2023-12-12
2749,287,2023-12-12
2750,287,2023-12-12
2746,287,2023-12-12
2745,287,2023-12-12
1825,196,2023-12-17
1829,196,2023-12-17
1832,196,2023-12-17
1826,196,2023-12-17
1830,196,2023-12-17
1831,196,2023-12-17
1833,196,2023-12-17
1827,196,2023-12-17
1828,196,2023-12-17
1023,112,2023-12-19
1688,181,2023-12-19
2306,238,2023-12-19
2307,238,2023-12-19
2304,238,2023-12-19
2305,238,2023-12-19
434,44,2023-12-19
893,96,2023-12-20
